Id,GEOID,name,homerule,hrnew
1600000US4803588,4803588,"Aquilla city, Texas",0,0
1600000US4803696,4803696,"Archer City city, Texas",0,0
1600000US4803708,4803708,"Arcola city, Texas",0,0
1600000US4803768,4803768,"Argyle city, Texas",0,0
1600000US4804156,4804156,"Arp city, Texas",0,0
1600000US4804174,4804174,"Arroyo Colorado Estates CDP, Texas",0,0
1600000US4804176,4804176,"Arroyo Gardens CDP, Texas",0,0
1600000US4804300,4804300,"Asherton city, Texas",0,0
1600000US4804408,4804408,"Aspermont town, Texas",0,0
1600000US4804462,4804462,"Atascocita CDP, Texas",0,0
1600000US4804600,4804600,"Aubrey city, Texas",0,0
1600000US4804672,4804672,"Aurora city, Texas",0,0
1600000US4805036,4805036,"Austwell city, Texas",0,0
1600000US4805072,4805072,"Avery town, Texas",0,0
1600000US4805084,4805084,"Avinger town, Texas",0,0
1600000US4805520,4805520,"B and E CDP, Texas",0,0
1600000US4805180,4805180,"Bacliff CDP, Texas",0,0
1600000US4805264,4805264,"Bailey city, Texas",0,0
1600000US4805288,4805288,"Bailey's Prairie village, Texas",0,0
1600000US4805336,4805336,"Baird city, Texas",0,0
1600000US4805384,4805384,"Balcones Heights city, Texas",0,0
1600000US4805468,4805468,"Balmorhea city, Texas",0,0
1600000US4805528,4805528,"Bandera city, Texas",0,0
1600000US4805552,4805552,"Bangs city, Texas",0,0
1600000US4805576,4805576,"Banquete CDP, Texas",0,0
1600000US4805612,4805612,"Bardwell city, Texas",0,0
1600000US4805690,4805690,"Barrera CDP, Texas",0,0
1600000US4805696,4805696,"Barrett CDP, Texas",0,0
1600000US4805708,4805708,"Barry city, Texas",0,0
1600000US4805720,4805720,"Barstow city, Texas",0,0
1600000US4805732,4805732,"Bartlett city, Texas",0,0
1600000US4805750,4805750,"Barton Creek CDP, Texas",0,0
1600000US4805768,4805768,"Bartonville town, Texas",0,0
1600000US4805924,4805924,"Batesville CDP, Texas",0,0
1600000US4806060,4806060,"Bayou Vista city, Texas",0,0
1600000US4806104,4806104,"Bayside town, Texas",0,0
1600000US4806140,4806140,"Bayview town, Texas",0,0
1600000US4806200,4806200,"Beach City city, Texas",0,0
1600000US4806242,4806242,"Bear Creek village, Texas",0,0
1600000US4806272,4806272,"Beasley city, Texas",0,0
1600000US4807108,4807108,"Beckville city, Texas",0,0
1600000US4807144,4807144,"Bedias city, Texas",0,0
1600000US4807396,4807396,"Bellevue city, Texas",0,0
1600000US4807420,4807420,"Bells town, Texas",0,0
1600000US4807432,4807432,"Bellville city, Texas",0,0
1600000US4807528,4807528,"Benavides city, Texas",0,0
1600000US4807636,4807636,"Benjamin city, Texas",0,0
1600000US4807642,4807642,"Benjamin Perez CDP, Texas",0,0
1600000US4807852,4807852,"Berryville town, Texas",0,0
1600000US4807864,4807864,"Bertram city, Texas",0,0
1600000US4808104,4808104,"Beverly Hills city, Texas",0,0
1600000US4808128,4808128,"Bevil Oaks city, Texas",0,0
1600000US4808212,4808212,"Big Lake city, Texas",0,0
1600000US4808224,4808224,"Big Sandy town, Texas",0,0
1600000US4808240,4808240,"Big Thicket Lake Estates CDP, Texas",0,0
1600000US4808260,4808260,"Big Wells city, Texas",0,0
1600000US4808164,4808164,"Bigfoot CDP, Texas",0,0
1600000US4808392,4808392,"Bishop city, Texas",0,0
1600000US4808398,4808398,"Bishop Hills town, Texas",0,0
1600000US4808410,4808410,"Bixby CDP, Texas",0,0
1600000US4808488,4808488,"Blackwell city, Texas",0,0
1600000US4808536,4808536,"Blanco city, Texas",0,0
1600000US4808596,4808596,"Blanket town, Texas",0,0
1600000US4808668,4808668,"Blessing CDP, Texas",0,0
1600000US4808752,4808752,"Bloomburg town, Texas",0,0
1600000US4808788,4808788,"Blooming Grove town, Texas",0,0
1600000US4808800,4808800,"Bloomington CDP, Texas",0,0
1600000US4808812,4808812,"Blossom city, Texas",0,0
1600000US4808830,4808830,"Blue Berry Hill CDP, Texas",0,0
1600000US4808860,4808860,"Blue Mound city, Texas",0,0
1600000US4808872,4808872,"Blue Ridge city, Texas",0,0
1600000US4808908,4808908,"Bluetown CDP, Texas",0,0
1600000US4809004,4809004,"Blum town, Texas",0,0
1600000US4809172,4809172,"Bogata city, Texas",0,0
1600000US4809232,4809232,"Boling CDP, Texas",0,0
1600000US4809250,4809250,"Bolivar Peninsula CDP, Texas",0,0
1600000US4809310,4809310,"Bonanza Hills CDP, Texas",0,0
1600000US4809388,4809388,"Bonney village, Texas",0,0
1600000US4809448,4809448,"Booker town, Texas",0,0
1600000US4809598,4809598,"Botines CDP, Texas",0,0
1600000US4809628,4809628,"Bovina city, Texas",0,0
1600000US4809656,4809656,"Box Canyon CDP, Texas",0,0
1600000US4809748,4809748,"Boyd town, Texas",0,0
1600000US4809796,4809796,"Boys Ranch CDP, Texas",0,0
1600000US4809868,4809868,"Brackettville city, Texas",0,0
1600000US4810072,4810072,"Brazoria city, Texas",0,0
1600000US4810087,4810087,"Brazos Bend city, Texas",0,0
1600000US4810090,4810090,"Brazos Country city, Texas",0,0
1600000US4810144,4810144,"Bremond city, Texas",0,0
1600000US4810192,4810192,"Briar CDP, Texas",0,0
1600000US4810197,4810197,"Briarcliff village, Texas",0,0
1600000US4810216,4810216,"Briaroaks city, Texas",0,0
1600000US4810264,4810264,"Bridgeport city, Texas",0,0
1600000US4810336,4810336,"Bristol CDP, Texas",0,0
1600000US4810384,4810384,"Broaddus town, Texas",0,0
1600000US4810528,4810528,"Bronte town, Texas",0,0
1600000US4810636,4810636,"Brookshire city, Texas",0,0
